cve,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,access_authentication,access_complexity,access_vector,impact_availability,impact_confidentiality,impact_integrity
CVE-2019-15071,2019-11-20 04:15:00,2019-11-20 04:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"The ""/cgi-bin/go"" page in MAIL2000 through version 6.0 and 7.0 has a cross-site scripting (XSS) vulnerability, allowing execution of arbitrary code via ACTION parameter without authentication. The code can executed for any user accessing the page. This vulnerability affects many mail system of governments, organizations, companies and universities.",,,,,,
CVE-2019-6191,2019-11-20 02:15:00,2019-11-20 02:15:00,4.6,269, Improper Privilege Management,A potential vulnerability in the discontinued LenovoPaper software version 1.0.0.22 may allow local privilege escalation.,,,,,,
CVE-2019-6189,2019-11-20 02:15:00,2019-11-20 02:15:00,4.4,426, Untrusted Search Path,A potential vulnerability was reported in Lenovo System Interface Foundation versions before v1.1.18.3 that could allow an administrative user to load an unsigned DLL.,,,,,,
CVE-2019-6187,2019-11-20 02:15:00,2019-11-20 02:15:00,4.0,74, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"A stored CSV Injection vulnerability was reported in Lenovo XClarity Controller (XCC) that could allow an administrative or other appropriately permissioned user to store malformed data in certain XCC server informational fields, that could result in crafted formulas being stored in an exported CSV file. The crafted formula is not executed on XCC itself and has no effect on the server.",,,,,,
CVE-2019-6184,2019-11-20 02:15:00,2019-11-20 02:15:00,4.6,269, Improper Privilege Management,A potential vulnerability in the discontinued Customer Engagement Service (CCSDK) software version 2.0.21.1 may allow local privilege escalation.,,,,,,
CVE-2011-3352,2019-11-19 23:15:00,2019-11-19 23:15:00,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Zikula 1.3.0 build #3168 and probably prior has XSS flaw due to improper sanitization of the 'themename' parameter by setting default, modifying and deleting themes. A remote attacker with Zikula administrator privilege could use this flaw to execute arbitrary HTML or web script code in the context of the affected website.",,,,,,
CVE-2019-10766,2019-11-19 20:57:00,2019-11-19 20:15:00,7.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"Pixie versions 1.0.x before 1.0.3, and 2.0.x before 2.0.2 allow SQL Injection in the limit() function due to improper sanitization.",,,,,,
CVE-2011-2922,2019-11-19 20:57:00,2019-11-19 19:15:00,7.2,20, Improper Input Validation,"ktsuss versions 1.4 and prior spawns the GTK interface to run as root. This can allow a local attacker to escalate privileges to root and use the ""GTK_MODULES"" environment variable to possibly execute arbitrary code.",,,,,,
CVE-2016-1000236,2019-11-19 18:43:00,2019-11-19 17:15:00,3.5,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Node-cookie-signature before 1.0.6 is affected by a timing attack due to the type of comparison used.,,,,,,
CVE-2012-6135,2019-11-19 18:43:00,2019-11-19 17:15:00,6.4,20, Improper Input Validation,RubyGems passenger 4.0.0 betas 1 and 2 allows remote attackers to delete arbitrary files during the startup process.,,,,,,
CVE-2011-2921,2019-11-19 18:43:00,2019-11-19 17:15:00,10.0,273, Improper Check for Dropped Privileges,"ktsuss versions 1.4 and prior has the uid set to root and does not drop privileges prior to executing user specified commands, which can result in command execution with root privileges.",,,,,,
CVE-2016-1000006,2019-11-19 16:43:00,2019-11-19 15:15:00,7.5,416, Use After Free,hhvm before 3.12.11 has a use-after-free in the serialize_memoize_param() and ResourceBundle::__construct() functions.,,,,,,
CVE-2012-0842,2019-11-19 16:43:00,2019-11-19 15:15:00,2.1,200, Information Exposure,surf: cookie jar has read access from other local user,,,,,,
CVE-2011-4954,2019-11-19 16:43:00,2019-11-19 16:15:00,7.2,269, Improper Privilege Management,cobbler has local privilege escalation via the use of insecure location for PYTHON_EGG_CACHE,,,,,,
CVE-2011-4952,2019-11-19 16:43:00,2019-11-19 16:15:00,6.8,352, Cross-Site Request Forgery (CSRF),cobbler: Web interface lacks CSRF protection when using Django framework,,,,,,
CVE-2011-4919,2019-11-19 16:43:00,2019-11-19 16:15:00,5.0,200, Information Exposure,mpack 1.6 has information disclosure via eavesdropping on mails sent by other users,,,,,,
CVE-2019-16861,2019-11-19 13:15:00,2019-11-19 13:15:00,6.9,426, Untrusted Search Path,"Code42 server through 7.0.2 for Windows has an Untrusted Search Path. In certain situations, a non-administrative attacker on the local server could create or modify a dynamic-link library (DLL). The Code42 service could then load it at runtime, and potentially execute arbitrary code at an elevated privilege on the local server.",,,,,,
CVE-2019-16860,2019-11-19 13:15:00,2019-11-19 13:15:00,6.9,426, Untrusted Search Path,"Code42 app through version 7.0.2 for Windows has an Untrusted Search Path. In certain situations, a non-administrative attacker on the local machine could create or modify a dynamic-link library (DLL). The Code42 service could then load it at runtime, and potentially execute arbitrary code at an elevated privilege on the local machine.",,,,,,
CVE-2019-12422,2019-11-18 23:15:00,2019-11-18 23:15:00,5.0,20, Improper Input Validation,"Apache Shiro before 1.4.2, when using the default ""remember me"" configuration, cookies could be susceptible to a padding attack.",,,,,,
CVE-2014-5118,2019-11-18 23:15:00,2019-11-18 23:15:00,2.1,20, Improper Input Validation,A Security Bypass Vulnerability exists in TBOOT before 1.8.2 in the boot loader module when measuring commandline parameters.,,,,,,
CVE-2019-19117,2019-11-18 22:15:00,2019-11-18 22:15:00,9.0,20, Improper Input Validation,/usr/lib/lua/luci/controller/admin/autoupgrade.lua on PHICOMM K2(PSG1218) V22.5.9.163 devices allows remote authenticated users to execute any command via shell metacharacters in the cgi-bin/luci autoUpTime parameter.,,,,,,
CVE-2019-10764,2019-11-18 22:15:00,2019-11-18 22:15:00,5.8,362, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"In elliptic-php versions priot to 1.0.6, Timing attacks might be possible which can result in practical recovery of the long-term private key generated by the library under certain conditions. Leakage of a bit-length of the scalar during scalar multiplication is possible on an elliptic curve which might allow practical recovery of the long-term private key.",,,,,,
CVE-2012-4441,2019-11-18 22:15:00,2019-11-18 22:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Jenkins main before 1.482 and LTS before 1.466.2 allows remote attackers to inject arbitrary web script or HTML in the CI game plugin.,,,,,,
CVE-2012-4440,2019-11-18 22:15:00,2019-11-18 22:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Jenkins main before 1.482 and LTS before 1.466.2 allows remote attackers to inject arbitrary web script or HTML in the Violations plugin.,,,,,,
CVE-2008-7273,2019-11-18 22:15:00,2019-11-18 22:15:00,4.6,59, Improper Link Resolution Before File Access ('Link Following'),A symlink issue exists in Iceweasel-firegpg before 0.6 due to insecure tempfile handling.,,,,,,
CVE-2019-17085,2019-11-18 21:15:00,2019-11-18 21:15:00,4.0,611, Improper Restriction of XML External Entity Reference,"XXE attack vulnerability on Micro Focus Operations Agent, affected version 12.0, 12.01, 12.02, 12.03, 12.04, 12.05, 12.06, 12.10, 12.11. The vulnerability could be exploited to do an XXE attack on Operations Agent.",,,,,,
CVE-2019-15054,2019-11-18 21:15:00,2019-11-18 21:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Multiple cross-site scripting (XSS) vulnerabilities in Mailbird before 2.7.5.0 r allow remote attackers to execute arbitrary JavaScript in a privileged context via a crafted HTML mail message. This vulnerability is distinct from CVE-2015-4657.,,,,,,
CVE-2019-12409,2019-11-18 21:15:00,2019-11-18 21:15:00,7.5,434, Unrestricted Upload of File with Dangerous Type,"The 8.1.1 and 8.2.0 releases of Apache Solr contain an insecure setting for the ENABLE_REMOTE_JMX_OPTS configuration option in the default solr.in.sh configuration file shipping with Solr. If you use the default solr.in.sh file from the affected releases, then JMX monitoring will be enabled and exposed on RMI_PORT (default=18983), without any authentication. If this port is opened for inbound traffic in your firewall, then anyone with network access to your Solr nodes will be able to access JMX, which may in turn allow them to upload malicious code for execution on the Solr server.",,,,,,
CVE-2019-10070,2019-11-18 21:15:00,2019-11-18 21:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Apache Atlas versions 0.8.3 and 1.1.0 were found vulnerable to Stored Cross-Site Scripting in the search functionality,,,,,,
CVE-2012-4439,2019-11-18 21:15:00,2019-11-18 21:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Cross-site Scripting (XSS) in Jenkins main before 1.482 and LTS before 1.466.2 allows remote attackers to inject arbitrary web script or HTML via a crafted URL that points to Jenkins.,,,,,,
CVE-2012-4438,2019-11-18 21:15:00,2019-11-18 21:15:00,6.5,20, Improper Input Validation,Jenkins main before 1.482 and LTS before 1.466.2 allows remote attackers with read access and HTTP access to Jenkins master to insert data and execute arbitrary code.,,,,,,
CVE-2019-18215,2019-11-18 20:15:00,2019-11-18 20:15:00,4.4,426, Untrusted Search Path,"An issue was discovered in signmgr.dll 6.5.0.819 in Comodo Internet Security through 12.0. A DLL Preloading vulnerability allows an attacker to implant an unsigned DLL named iLog.dll in a partially unprotected product directory. This DLL is then loaded into a high-privileged service before the binary signature validation logic is loaded, and might bypass some of the self-defense mechanisms.",,,,,,
CVE-2019-10763,2019-11-18 20:15:00,2019-11-18 20:15:00,4.0,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"pimcore/pimcore before 6.3.0 is vulnerable to SQL Injection. An attacker with limited privileges (classes permission) can achieve a SQL injection that can lead in data leakage. The vulnerability can be exploited via 'id', 'storeId', 'pageSize' and 'tables' parameters, using a payload for trigger a time based or error based sql injection.",,,,,,
CVE-2019-3424,2019-11-18 19:28:00,2019-11-18 19:15:00,6.4,287, Improper Authentication,"authentication issues vulnerability, which exists in V2.1.14 and below versions of C520V21 smart camera devices. An attacker can automatically obtain access to web services from the authorized browser of the same computer and perform operations.",,,,,,
CVE-2019-3423,2019-11-18 19:28:00,2019-11-18 19:15:00,5.0,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"permission and access control vulnerability, which exists in V2.1.14 and below versions of C520V21 smart camera devices. An attacker can construct a URL for directory traversal and access to other unauthorized files or resources.",,,,,,
CVE-2019-12311,2019-11-18 19:28:00,2019-11-18 19:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Sandline Centraleyezer (On Premises) allows Unrestricted File Upload leading to Stored XSS. An HTML page running a script could be uploaded to the server. When a victim tries to download a CISO Report template, the script is loaded.",,,,,,
CVE-2019-12299,2019-11-18 19:28:00,2019-11-18 19:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Sandline Centraleyezer (On Premises) allows Stored XSS using HTML entities in the name field of the Category section.,,,,,,
CVE-2019-12271,2019-11-18 19:28:00,2019-11-18 19:15:00,7.5,434, Unrestricted Upload of File with Dangerous Type,"Sandline Centraleyezer (On Premises) allows unrestricted File Upload with a dangerous type, because the feature of adding "".jpg"" to any uploaded filename is not enforced on the server side.",,,,,,
CVE-2018-20687,2019-11-18 19:28:00,2019-11-18 19:15:00,7.5,611, Improper Restriction of XML External Entity Reference,An XML external entity (XXE) vulnerability in CommandCenterWebServices/.*?wsdl in Raritan CommandCenter Secure Gateway before 8.0.0 allows remote unauthenticated users to read arbitrary files or conduct server-side request forgery (SSRF) attacks via a crafted DTD in an XML request.,,,,,,
CVE-2019-5688,2019-11-18 18:15:00,2019-11-18 18:15:00,7.2,269, Improper Privilege Management,"NVIDIA NVFlash, NVUFlash Tool prior to v5.588.0 and GPUModeSwitch Tool prior to 2019-11, NVIDIA kernel mode driver (nvflash.sys, nvflsh32.sys, and nvflsh64.sys) contains a vulnerability in which authenticated users with administrative privileges can gain access to device memory and registers of other devices not managed by NVIDIA, which may lead to escalation of privileges, information disclosure, or denial of service.",,,,,,
CVE-2019-5102,2019-11-18 18:15:00,2019-11-18 18:15:00,4.3,295, Improper Certificate Validation,"An exploitable information leak vulnerability exists in the ustream-ssl library of OpenWrt, versions 18.06.4 and 15.05.1. When connecting to a remote server, the server's SSL certificate is checked but no action is taken when the certificate is invalid. An attacker could exploit this behavior by performing a man-in-the-middle attack, providing any certificate, leading to the theft of all the data sent by the client during the first request.",,,,,,
CVE-2019-5101,2019-11-18 18:15:00,2019-11-18 18:15:00,4.3,295, Improper Certificate Validation,"An exploitable information leak vulnerability exists in the ustream-ssl library of OpenWrt, versions 18.06.4 and 15.05.1. When connecting to a remote server, the server's SSL certificate is checked but no action is taken when the certificate is invalid. An attacker could exploit this behavior by performing a man-in-the-middle attack, providing any certificate, leading to the theft of all the data sent by the client during the first request. After an SSL connection is initialized via _ustream_ssl_init, and after any data (e.g. the client's HTTP request) is written to the stream using ustream_printf, the code eventually enters the function __ustream_ssl_poll, which is used to dispatch the read/write events",,,,,,
CVE-2019-19085,2019-11-18 16:33:00,2019-11-18 16:15:00,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),A persistent cross-site scripting (XSS) vulnerability in Octopus Server 3.4.0 through 2019.10.5 allows remote authenticated attackers to inject arbitrary web script or HTML.,,,,,,
CVE-2019-19084,2019-11-18 16:33:00,2019-11-18 16:15:00,4.0,434, Unrestricted Upload of File with Dangerous Type,"In Octopus Deploy 3.3.0 through 2019.10.4, an authenticated user with PackagePush permission to upload packages could upload a maliciously crafted package, triggering an exception that exposes underlying operating system details.",,,,,,
CVE-2019-17058,2019-11-18 16:33:00,2019-11-18 16:15:00,6.5,434, Unrestricted Upload of File with Dangerous Type,Footy Tipping Software AFL Web Edition 2019 allows arbitrary file upload and resultant remote code execution because a whitelist can be bypassed by an Administrator who uploads a crafted upload.dat file.,,,,,,
CVE-2019-17057,2019-11-18 16:33:00,2019-11-18 16:15:00,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Footy Tipping Software AFL Web Edition 2019 allows XSS.,,,,,,
CVE-2019-14467,2019-11-18 16:33:00,2019-11-18 16:15:00,4.6,20, Improper Input Validation,"The Social Photo Gallery plugin 1.0 for WordPress allows Remote Code Execution by creating an album and attaching a malicious PHP file in the cover photo album, because the file extension is not checked.",,,,,,
CVE-2019-19083,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"Memory leaks in *clock_source_create() functions under drivers/gpu/drm/amd/display/dc in the Linux kernel before 5.3.8 allow attackers to cause a denial of service (memory consumption). This affects the dce112_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dce112/dce112_resource.c, the dce100_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dce100/dce100_resource.c, the dcn10_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dcn10/dcn10_resource.c, the dcn20_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dcn20/dcn20_resource.c, the dce120_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dce120/dce120_resource.c, the dce110_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dce110/dce110_resource.c, and the dce80_clock_source_create() function in drivers/gpu/drm/amd/display/dc/dce80/dce80_resource.c, aka CID-055e547478a1.",,,,,,
CVE-2019-19082,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"Memory leaks in *create_resource_pool() functions under drivers/gpu/drm/amd/display/dc in the Linux kernel through 5.3.11 allow attackers to cause a denial of service (memory consumption). This affects the dce120_create_resource_pool() function in drivers/gpu/drm/amd/display/dc/dce120/dce120_resource.c, the dce110_create_resource_pool() function in drivers/gpu/drm/amd/display/dc/dce110/dce110_resource.c, the dce100_create_resource_pool() function in drivers/gpu/drm/amd/display/dc/dce100/dce100_resource.c, the dcn10_create_resource_pool() function in drivers/gpu/drm/amd/display/dc/dcn10/dcn10_resource.c, and the dce112_create_resource_pool() function in drivers/gpu/drm/amd/display/dc/dce112/dce112_resource.c, aka CID-104c307147ad.",,,,,,
CVE-2019-19081,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the nfp_flower_spawn_vnic_reprs() function in drivers/net/ethernet/netronome/nfp/flower/main.c in the Linux kernel before 5.3.4 allows attackers to cause a denial of service (memory consumption), aka CID-8ce39eb5a67a.",,,,,,
CVE-2019-19080,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"Four memory leaks in the nfp_flower_spawn_phy_reprs() function in drivers/net/ethernet/netronome/nfp/flower/main.c in the Linux kernel before 5.3.4 allow attackers to cause a denial of service (memory consumption), aka CID-8572cea1461a.",,,,,,
CVE-2019-19079,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the qrtr_tun_write_iter() function in net/qrtr/tun.c in the Linux kernel before 5.3 allows attackers to cause a denial of service (memory consumption), aka CID-a21b7f0cff19.",,,,,,
CVE-2019-19078,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the ath10k_usb_hif_tx_sg() function in drivers/net/wireless/ath/ath10k/usb.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering usb_submit_urb() failures, aka CID-b8d17e7d93d2.",,,,,,
CVE-2019-19077,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the bnxt_re_create_srq() function in drivers/infiniband/hw/bnxt_re/ib_verbs.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering copy to udata failures, aka CID-4a9d46a9fe14.",,,,,,
CVE-2019-19076,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the nfp_abm_u32_knode_replace() function in drivers/net/ethernet/netronome/nfp/abm/cls.c in the Linux kernel before 5.3.6 allows attackers to cause a denial of service (memory consumption), aka CID-78beef629fd9.",,,,,,
CVE-2019-19075,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the ca8210_probe() function in drivers/net/ieee802154/ca8210.c in the Linux kernel before 5.3.8 allows attackers to cause a denial of service (memory consumption) by triggering ca8210_get_platform_data() failures, aka CID-6402939ec86e.",,,,,,
CVE-2019-19074,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the ath9k_wmi_cmd() function in drivers/net/wireless/ath/ath9k/wmi.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption), aka CID-728c1e2a05e4.",,,,,,
CVE-2019-19073,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"Memory leaks in drivers/net/wireless/ath/ath9k/htc_hst.c in the Linux kernel through 5.3.11 allow attackers to cause a denial of service (memory consumption) by triggering wait_for_completion_timeout() failures. This affects the htc_config_pipe_credits() function, the htc_setup_complete() function, and the htc_connect_service() function, aka CID-853acf7caf10.",,,,,,
CVE-2019-19072,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the predicate_parse() function in kernel/trace/trace_events_filter.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption), aka CID-96c5c6e6a5b6.",,,,,,
CVE-2019-19071,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the rsi_send_beacon() function in drivers/net/wireless/rsi/rsi_91x_mgmt.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering rsi_prepare_beacon() failures, aka CID-d563131ef23c.",,,,,,
CVE-2019-19070,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"** DISPUTED ** A memory leak in the spi_gpio_probe() function in drivers/spi/spi-gpio.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering devm_add_action_or_reset() failures, aka CID-d3b0ffa1d75d. NOTE: third parties dispute the relevance of this because the system must have already been out of memory before the probe began.",,,,,,
CVE-2019-19069,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the fastrpc_dma_buf_attach() function in drivers/misc/fastrpc.c in the Linux kernel before 5.3.9 allows attackers to cause a denial of service (memory consumption) by triggering dma_get_sgtable() failures, aka CID-fc739a058d99.",,,,,,
CVE-2019-19068,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the rtl8xxxu_submit_int_urb() function in drivers/net/wireless/realtek/rtl8xxxu/rtl8xxxu_core.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering usb_submit_urb() failures, aka CID-a2cdd07488e6.",,,,,,
CVE-2019-19067,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"** DISPUTED ** Four memory leaks in the acp_hw_init() function in drivers/gpu/drm/amd/amdgpu/amdgpu_acp.c in the Linux kernel before 5.3.8 allow attackers to cause a denial of service (memory consumption) by triggering mfd_add_hotplug_devices() or pm_genpd_add_device() failures, aka CID-57be09c6e874. NOTE: third parties dispute the relevance of this because the attacker must already have privileges for module loading.",,,,,,
CVE-2019-19066,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the bfad_im_get_stats() function in drivers/scsi/bfa/bfad_attr.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering bfa_port_get_stats() failures, aka CID-0e62395da2bd.",,,,,,
CVE-2019-19065,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"A memory leak in the sdma_init() function in drivers/infiniband/hw/hfi1/sdma.c in the Linux kernel before 5.3.9 allows attackers to cause a denial of service (memory consumption) by triggering rhashtable_init() failures, aka CID-34b3be18a04e.",,,,,,
CVE-2019-19064,2019-11-18 06:15:00,2019-11-18 06:15:00,7.8,400, Uncontrolled Resource Consumption,"** DISPUTED ** A memory leak in the fsl_lpspi_probe() function in drivers/spi/spi-fsl-lpspi.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering pm_runtime_get_sync() failures, aka CID-057b8945f78f. NOTE: third parties dispute the relevance of this because an attacker cannot realistically control these failures at probe time.",,,,,,
